NIM,WMCNAMM,NOAP+NOAM,NOAM,WOC,AMW,NOPVA,RFC,CFNAMM,IntelligentMethods,AccessorsRatio,PublicAttributes,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Smell
0.0,0.125,0.17391304347826086,0.038461538461538464,0.0,0.0,0.17647058823529413,0.59375,0.0,0.0,0.5,0.35294117647058826,0.0,0.0,0.0,0.0,0.08344030808729139,0.0,0.08562197092084008,0.17142857142857143,1.0,1.0,0.0,0,0.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.1724137931034483,0.2751322751322751,0.2826086956521739,0.2676056338028169,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.2571428571428571,0.2,0.18518518518518517,0.1864406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.7310371517027863,0.35555555555555557,0.06896551724137931,0.06896551724137931,0.06896551724137931,5,FALSE
0.0,0.2916666666666667,0.043478260869565216,0.15384615384615385,1.0,0.07142857142857142,0.4117647058823529,0.5,0.07692307692307693,0.2857142857142857,0.4280000000000001,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.09178433889602054,0.0075,0.11340872374798061,0.0,0.0,0.5384615384615384,0.0,0,0.0,0.25,0.375,0.25,0.25,0.6666666666666666,0.0,0.75,0.0,0.5026455026455027,0.2826086956521739,0.5845070422535211,0.6,0.7532467532467533,0.21212121212121213,0.5857142857142857,0.47619047619047616,0.5185185185185185,0.3728813559322034,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.6666666666666666,0.6426083591331267,0.15555555555555556,0.3103448275862069,0.3103448275862069,0.3103448275862069,8,FALSE
0.0,0.08333333333333333,0.21739130434782608,0.15384615384615385,0.0,0.0,0.11764705882352941,0.125,0.0,0.0,1.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.015275994865211808,0.0,0.01922455573505654,0.0,0.0,0.07692307692307693,0.0,0,0.4,0.21428571428571427,0.1875,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.0,0.0,0.20689655172413793,0.13756613756613756,0.30434782608695654,0.14084507042253522,0.12727272727272726,0.18181818181818182,0.0,0.21428571428571427,0.17142857142857143,0.14814814814814814,0.1694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.5735294117647058,0.0,0.13793103448275862,0.13793103448275862,0.13793103448275862,7,FALSE
0.0,0.4583333333333333,0.17391304347826086,0.23076923076923078,0.0006993006993006993,0.09142857142857141,0.5294117647058824,0.5625,0.2692307692307692,0.2857142857142857,0.4,0.058823529411764705,0.09142857142857141,0.09142857142857141,0.11714285714285715,0.6545454545454547,0.07111681643132221,0.01125,0.07479806138933766,0.13,0.0,0.5384615384615384,0.25,0,0.1,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,1.0,0.0,1.0,0.0,0.49206349206349204,0.2391304347826087,0.5352112676056338,0.509090909090909,0.6363636363636364,0.48484848484848486,0.6428571428571429,0.5523809523809524,0.48148148148148145,0.5423728813559322,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.6666666666666666,0.0,1.0,0.8092105263157893,0.37777777777777777,0.5172413793103449,0.5172413793103449,0.5862068965517241,15,FALSE
0.0,0.125,0.13043478260869565,0.23076923076923078,0.0,0.0,0.23529411764705882,0.34375,0.038461538461538464,0.0,0.7759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0,0.0,0.32142857142857145,0.1875,0.32142857142857145,0.32142857142857145,0.3333333333333333,0.0,0.5,0.1724137931034483,0.13756613756613756,0.2826086956521739,0.11971830985915492,0.10909090909090909,0.07792207792207792,0.12121212121212122,0.08571428571428572,0.11428571428571428,0.12962962962962962,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.7256191950464396,0.24444444444444444,0.2413793103448276,0.2413793103448276,0.2413793103448276,10,TRUE
0.15,0.08333333333333333,0.0,0.11538461538461539,0.0,0.028571428571428564,0.17647058823529413,0.03125,0.0,0.0,1.0,0.0,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.0,0.02182284980744544,0.0,0.017770597738287562,0.08571428571428572,0.0,0.15384615384615385,0.0,0,0.0,0.14285714285714285,0.125,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.1724137931034483,0.042328042328042326,0.15217391304347827,0.04225352112676056,0.0,0.06493506493506493,0.09090909090909091,0.07142857142857142,0.05714285714285714,0.018518518518518517,0.0847457627118644,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,1.0,0.0,0.0,0.26666666666666666,0.10344827586206896,0.10344827586206896,0.10344827586206896,5,TRUE
0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008344030808729138,0.0,0.010500807754442648,0.0,0.0,0.15384615384615385,0.125,0,0.0,0.10714285714285714,0.125,0.10714285714285714,0.10714285714285714,0.0,0.0,0.125,0.10344827586206896,0.0,0.10869565217391304,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1934984520123839,0.3333333333333333,0.034482758620689655,0.034482758620689655,0.034482758620689655,4,TRUE
1.0,0.2916666666666667,0.30434782608695654,0.0,0.3181818181818182,1.0,0.0,0.875,0.5769230769230769,0.14285714285714285,1.0,0.5882352941176471,1.0,1.0,1.0,0.0,1.0,0.75,1.0,0.5714285714285714,0.0,0.15384615384615385,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.5608465608465608,0.5,0.4084507042253521,0.2545454545454545,0.8051948051948052,1.0,0.6,0.45714285714285713,0.2962962962962963,0.5423728813559322,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,1.0,0.0,0.2815402476780185,0.9333333333333332,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,TRUE
0.0,0.08333333333333333,0.6086956521739131,0.0,0.6153846153846154,0.0,0.0,0.1875,0.19230769230769232,0.42857142857142855,0.32,1.0,0.0,0.0,0.0,0.0,0.1569961489088575,0.0625,0.1546042003231018,0.23857142857142857,0.0,0.0,0.0,0,0.0,0.07142857142857142,1.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.10344827586206896,0.3862433862433862,0.45652173913043476,0.2605633802816901,0.2727272727272727,0.5454545454545454,0.696969696969697,0.5571428571428572,0.3619047619047619,0.2962962962962963,0.3728813559322034,0.0,0.0,0.0,0.0,0.0,0.0,0.5160603715170279,0.888888888888889,0.0,0.0,0.0,3,TRUE
0.0,0.20833333333333334,1.0,1.0,0.4125874125874126,0.0142857142857143,1.0,0.9375,0.038461538461538464,0.2857142857142857,1.0,0.0,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0,0.004878048780487803,0.0,0.006138933764135701,0.0,0.0,0.38461538461538464,0.125,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7532467532467533,0.3939393939393939,0.9857142857142858,1.0,1.0,0.864406779661017,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,1.0,0.17777777777777778,1.0,1.0,1.0,29,TRUE
0.0,0.0,0.21739130434782608,0.3076923076923077,0.0,0.0,0.5294117647058824,0.40625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010141206675224647,0.0,0.012762520193861067,0.0,0.0,0.7692307692307693,0.0,0,0.0,0.2857142857142857,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.3103448275862069,0.09523809523809523,0.0,0.18309859154929578,0.18181818181818182,0.14285714285714285,0.0,0.24285714285714285,0.20952380952380953,0.2037037037037037,0.1864406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.7548374613003096,0.0,0.20689655172413793,0.20689655172413793,0.20689655172413793,9,FALSE
1.0,0.08333333333333333,0.043478260869565216,0.0,0.4370629370629371,0.2857142857142857,0.17647058823529413,0.90625,1.0,0.14285714285714285,1.0,0.23529411764705882,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.9358151476251605,1.0,0.8707592891760905,1.0,0.0,0.23076923076923078,0.0,0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.4656084656084656,0.5217391304347826,0.33098591549295775,0.21818181818181817,0.6233766233766234,0.8787878787878788,0.6142857142857143,0.4,0.25925925925925924,0.4745762711864407,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,1.0,0.0,0.1934984520123839,0.9555555555555555,0.0,0.0,0.0,1,TRUE
0.0,0.041666666666666664,0.21739130434782608,0.15384615384615385,0.0,0.0,0.0,0.09375,0.0,0.0,1.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.026572528883183566,0.0,0.017285945072697897,0.16714285714285712,0.0,0.0,0.0,0,0.0,0.17857142857142858,0.1875,0.17857142857142858,0.17857142857142858,0.0,0.0,0.0,0.20689655172413793,0.12698412698412698,0.17391304347826086,0.07746478873239436,0.05454545454545454,0.12987012987012986,0.42424242424242425,0.1,0.08571428571428572,0.05555555555555555,0.1016949152542373,0.0,0.0,0.0,0.0,0.0,0.0,0.1934984520123839,1.0,0.10344827586206896,0.10344827586206896,0.10344827586206896,6,TRUE
0.0,0.041666666666666664,0.17391304347826086,0.23076923076923078,0.0,0.0,0.17647058823529413,0.125,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.010012836970474965,0.0,0.012600969305331177,0.0,0.0,0.0,0.0,0,0.0,0.25,0.4375,0.25,0.25,0.0,0.0,0.0,0.27586206896551724,0.10582010582010581,0.21739130434782608,0.11971830985915492,0.09090909090909091,0.12987012987012986,0.030303030303030304,0.12857142857142856,0.12380952380952381,0.09259259259259259,0.13559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294117,0.06666666666666667,0.1724137931034483,0.1724137931034483,0.1724137931034483,8,TRUE
0.0,1.0,0.043478260869565216,0.15384615384615385,0.006118881118881119,0.2342857142857143,0.23529411764705882,1.0,0.9230769230769231,1.0,0.0,0.0,0.2342857142857143,0.2342857142857143,0.2342857142857143,1.0,0.1048780487804878,0.0225,0.1172859450726979,0.18142857142857144,0.0,0.5384615384615384,0.0,0,0.0,0.35714285714285715,0.1875,0.35714285714285715,0.35714285714285715,0.0,1.0,0.0,0.20689655172413793,0.746031746031746,0.4782608695652174,0.8309859154929577,0.6181818181818182,1.0,0.6060606060606061,1.0,0.9428571428571428,0.7407407407407407,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7211687306501546,0.3111111111111111,0.896551724137931,0.896551724137931,0.896551724137931,17,TRUE
0.0,0.125,0.17391304347826086,0.038461538461538464,0.0,0.0,0.17647058823529413,0.59375,0.0,0.0,0.5,0.35294117647058826,0.0,0.0,0.0,0.0,0.08344030808729139,0.0,0.08562197092084008,0.17142857142857143,1.0,1.0,0.0,0,0.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.1724137931034483,0.2751322751322751,0.2826086956521739,0.2676056338028169,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.2571428571428571,0.2,0.18518518518518517,0.1864406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.7310371517027863,0.35555555555555557,0.06896551724137931,0.06896551724137931,0.06896551724137931,5,TRUE
0.0,0.2916666666666667,0.043478260869565216,0.15384615384615385,1.0,0.07142857142857142,0.4117647058823529,0.5,0.07692307692307693,0.2857142857142857,0.4280000000000001,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.09178433889602054,0.0075,0.11340872374798061,0.0,0.0,0.5384615384615384,0.0,0,0.0,0.25,0.375,0.25,0.25,0.6666666666666666,0.0,0.75,0.0,0.5026455026455027,0.2826086956521739,0.5845070422535211,0.6,0.7532467532467533,0.21212121212121213,0.5857142857142857,0.47619047619047616,0.5185185185185185,0.3728813559322034,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.6666666666666666,0.6426083591331267,0.15555555555555556,0.3103448275862069,0.3103448275862069,0.3103448275862069,8,FALSE
0.0,0.08333333333333333,0.21739130434782608,0.15384615384615385,0.0,0.0,0.11764705882352941,0.125,0.0,0.0,1.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.015275994865211808,0.0,0.01922455573505654,0.0,0.0,0.07692307692307693,0.0,0,0.4,0.21428571428571427,0.1875,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.0,0.0,0.20689655172413793,0.13756613756613756,0.30434782608695654,0.14084507042253522,0.12727272727272726,0.18181818181818182,0.0,0.21428571428571427,0.17142857142857143,0.14814814814814814,0.1694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.5735294117647058,0.0,0.13793103448275862,0.13793103448275862,0.13793103448275862,7,TRUE
0.0,0.4583333333333333,0.17391304347826086,0.23076923076923078,0.0006993006993006993,0.09142857142857141,0.5294117647058824,0.5625,0.2692307692307692,0.2857142857142857,0.4,0.058823529411764705,0.09142857142857141,0.09142857142857141,0.11714285714285715,0.6545454545454547,0.07111681643132221,0.01125,0.07479806138933766,0.13,0.0,0.5384615384615384,0.25,0,0.1,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,1.0,0.0,1.0,0.0,0.49206349206349204,0.2391304347826087,0.5352112676056338,0.509090909090909,0.6363636363636364,0.48484848484848486,0.6428571428571429,0.5523809523809524,0.48148148148148145,0.5423728813559322,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.6666666666666666,0.0,1.0,0.8092105263157893,0.37777777777777777,0.5172413793103449,0.5172413793103449,0.5862068965517241,15,TRUE
0.0,0.125,0.13043478260869565,0.23076923076923078,0.0,0.0,0.23529411764705882,0.34375,0.038461538461538464,0.0,0.7759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0,0.0,0.32142857142857145,0.1875,0.32142857142857145,0.32142857142857145,0.3333333333333333,0.0,0.5,0.1724137931034483,0.13756613756613756,0.2826086956521739,0.11971830985915492,0.10909090909090909,0.07792207792207792,0.12121212121212122,0.08571428571428572,0.11428571428571428,0.12962962962962962,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.7256191950464396,0.24444444444444444,0.2413793103448276,0.2413793103448276,0.2413793103448276,10,TRUE
0.15,0.08333333333333333,0.0,0.11538461538461539,0.0,0.028571428571428564,0.17647058823529413,0.03125,0.0,0.0,1.0,0.0,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.0,0.02182284980744544,0.0,0.017770597738287562,0.08571428571428572,0.0,0.15384615384615385,0.0,0,0.0,0.14285714285714285,0.125,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.1724137931034483,0.042328042328042326,0.15217391304347827,0.04225352112676056,0.0,0.06493506493506493,0.09090909090909091,0.07142857142857142,0.05714285714285714,0.018518518518518517,0.0847457627118644,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,1.0,0.0,0.0,0.26666666666666666,0.10344827586206896,0.10344827586206896,0.10344827586206896,5,FALSE
0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008344030808729138,0.0,0.010500807754442648,0.0,0.0,0.15384615384615385,0.125,0,0.0,0.10714285714285714,0.125,0.10714285714285714,0.10714285714285714,0.0,0.0,0.125,0.10344827586206896,0.0,0.10869565217391304,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1934984520123839,0.3333333333333333,0.034482758620689655,0.034482758620689655,0.034482758620689655,4,TRUE
1.0,0.2916666666666667,0.30434782608695654,0.0,0.3181818181818182,1.0,0.0,0.875,0.5769230769230769,0.14285714285714285,1.0,0.5882352941176471,1.0,1.0,1.0,0.0,1.0,0.75,1.0,0.5714285714285714,0.0,0.15384615384615385,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.5608465608465608,0.5,0.4084507042253521,0.2545454545454545,0.8051948051948052,1.0,0.6,0.45714285714285713,0.2962962962962963,0.5423728813559322,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,1.0,0.0,0.2815402476780185,0.9333333333333332,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,FALSE
0.0,0.08333333333333333,0.6086956521739131,0.0,0.6153846153846154,0.0,0.0,0.1875,0.19230769230769232,0.42857142857142855,0.32,1.0,0.0,0.0,0.0,0.0,0.1569961489088575,0.0625,0.1546042003231018,0.23857142857142857,0.0,0.0,0.0,0,0.0,0.07142857142857142,1.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.10344827586206896,0.3862433862433862,0.45652173913043476,0.2605633802816901,0.2727272727272727,0.5454545454545454,0.696969696969697,0.5571428571428572,0.3619047619047619,0.2962962962962963,0.3728813559322034,0.0,0.0,0.0,0.0,0.0,0.0,0.5160603715170279,0.888888888888889,0.0,0.0,0.0,3,TRUE
0.0,0.20833333333333334,1.0,1.0,0.4125874125874126,0.0142857142857143,1.0,0.9375,0.038461538461538464,0.2857142857142857,1.0,0.0,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0,0.004878048780487803,0.0,0.006138933764135701,0.0,0.0,0.38461538461538464,0.125,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7532467532467533,0.3939393939393939,0.9857142857142858,1.0,1.0,0.864406779661017,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,1.0,0.17777777777777778,1.0,1.0,1.0,29,FALSE
0.0,0.0,0.21739130434782608,0.3076923076923077,0.0,0.0,0.5294117647058824,0.40625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010141206675224647,0.0,0.012762520193861067,0.0,0.0,0.7692307692307693,0.0,0,0.0,0.2857142857142857,0.5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.3103448275862069,0.09523809523809523,0.0,0.18309859154929578,0.18181818181818182,0.14285714285714285,0.0,0.24285714285714285,0.20952380952380953,0.2037037037037037,0.1864406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.7548374613003096,0.0,0.20689655172413793,0.20689655172413793,0.20689655172413793,9,TRUE
1.0,0.08333333333333333,0.043478260869565216,0.0,0.4370629370629371,0.2857142857142857,0.17647058823529413,0.90625,1.0,0.14285714285714285,1.0,0.23529411764705882,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.9358151476251605,1.0,0.8707592891760905,1.0,0.0,0.23076923076923078,0.0,0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.4656084656084656,0.5217391304347826,0.33098591549295775,0.21818181818181817,0.6233766233766234,0.8787878787878788,0.6142857142857143,0.4,0.25925925925925924,0.4745762711864407,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,1.0,0.0,0.1934984520123839,0.9555555555555555,0.0,0.0,0.0,1,FALSE
0.0,0.041666666666666664,0.21739130434782608,0.15384615384615385,0.0,0.0,0.0,0.09375,0.0,0.0,1.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.026572528883183566,0.0,0.017285945072697897,0.16714285714285712,0.0,0.0,0.0,0,0.0,0.17857142857142858,0.1875,0.17857142857142858,0.17857142857142858,0.0,0.0,0.0,0.20689655172413793,0.12698412698412698,0.17391304347826086,0.07746478873239436,0.05454545454545454,0.12987012987012986,0.42424242424242425,0.1,0.08571428571428572,0.05555555555555555,0.1016949152542373,0.0,0.0,0.0,0.0,0.0,0.0,0.1934984520123839,1.0,0.10344827586206896,0.10344827586206896,0.10344827586206896,6,TRUE
0.0,0.041666666666666664,0.17391304347826086,0.23076923076923078,0.0,0.0,0.17647058823529413,0.125,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.010012836970474965,0.0,0.012600969305331177,0.0,0.0,0.0,0.0,0,0.0,0.25,0.4375,0.25,0.25,0.0,0.0,0.0,0.27586206896551724,0.10582010582010581,0.21739130434782608,0.11971830985915492,0.09090909090909091,0.12987012987012986,0.030303030303030304,0.12857142857142856,0.12380952380952381,0.09259259259259259,0.13559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294117,0.06666666666666667,0.1724137931034483,0.1724137931034483,0.1724137931034483,8,TRUE
0.0,1.0,0.043478260869565216,0.15384615384615385,0.006118881118881119,0.2342857142857143,0.23529411764705882,1.0,0.9230769230769231,1.0,0.0,0.0,0.2342857142857143,0.2342857142857143,0.2342857142857143,1.0,0.1048780487804878,0.0225,0.1172859450726979,0.18142857142857144,0.0,0.5384615384615384,0.0,0,0.0,0.35714285714285715,0.1875,0.35714285714285715,0.35714285714285715,0.0,1.0,0.0,0.20689655172413793,0.746031746031746,0.4782608695652174,0.8309859154929577,0.6181818181818182,1.0,0.6060606060606061,1.0,0.9428571428571428,0.7407407407407407,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7211687306501546,0.3111111111111111,0.896551724137931,0.896551724137931,0.896551724137931,17,FALSE
0.0,0.125,0.17391304347826086,0.038461538461538464,0.0,0.0,0.17647058823529413,0.59375,0.0,0.0,0.5,0.35294117647058826,0.0,0.0,0.0,0.0,0.08344030808729139,0.0,0.08562197092084008,0.17142857142857143,1.0,1.0,0.0,0,0.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.1724137931034483,0.2751322751322751,0.2826086956521739,0.2676056338028169,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.2571428571428571,0.2,0.18518518518518517,0.1864406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.7310371517027863,0.35555555555555557,0.06896551724137931,0.06896551724137931,0.06896551724137931,5,TRUE
0.0,0.2916666666666667,0.043478260869565216,0.15384615384615385,1.0,0.07142857142857142,0.4117647058823529,0.5,0.07692307692307693,0.2857142857142857,0.4280000000000001,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.09178433889602054,0.0075,0.11340872374798061,0.0,0.0,0.5384615384615384,0.0,0,0.0,0.25,0.375,0.25,0.25,0.6666666666666666,0.0,0.75,0.0,0.5026455026455027,0.2826086956521739,0.5845070422535211,0.6,0.7532467532467533,0.21212121212121213,0.5857142857142857,0.47619047619047616,0.5185185185185185,0.3728813559322034,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.6666666666666666,0.6426083591331267,0.15555555555555556,0.3103448275862069,0.3103448275862069,0.3103448275862069,8,FALSE
0.0,0.08333333333333333,0.21739130434782608,0.15384615384615385,0.0,0.0,0.11764705882352941,0.125,0.0,0.0,1.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.015275994865211808,0.0,0.01922455573505654,0.0,0.0,0.07692307692307693,0.0,0,0.4,0.21428571428571427,0.1875,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.0,0.0,0.20689655172413793,0.13756613756613756,0.30434782608695654,0.14084507042253522,0.12727272727272726,0.18181818181818182,0.0,0.21428571428571427,0.17142857142857143,0.14814814814814814,0.1694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.5735294117647058,0.0,0.13793103448275862,0.13793103448275862,0.13793103448275862,7,TRUE
0.0,0.4583333333333333,0.17391304347826086,0.23076923076923078,0.0006993006993006993,0.09142857142857141,0.5294117647058824,0.5625,0.2692307692307692,0.2857142857142857,0.4,0.058823529411764705,0.09142857142857141,0.09142857142857141,0.11714285714285715,0.6545454545454547,0.07111681643132221,0.01125,0.07479806138933766,0.13,0.0,0.5384615384615384,0.25,0,0.1,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,1.0,0.0,1.0,0.0,0.49206349206349204,0.2391304347826087,0.5352112676056338,0.509090909090909,0.6363636363636364,0.48484848484848486,0.6428571428571429,0.5523809523809524,0.48148148148148145,0.5423728813559322,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.6666666666666666,0.0,1.0,0.8092105263157893,0.37777777777777777,0.5172413793103449,0.5172413793103449,0.5862068965517241,15,FALSE
0.0,0.125,0.13043478260869565,0.23076923076923078,0.0,0.0,0.23529411764705882,0.34375,0.038461538461538464,0.0,0.7759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0,0.0,0.32142857142857145,0.1875,0.32142857142857145,0.32142857142857145,0.3333333333333333,0.0,0.5,0.1724137931034483,0.13756613756613756,0.2826086956521739,0.11971830985915492,0.10909090909090909,0.07792207792207792,0.12121212121212122,0.08571428571428572,0.11428571428571428,0.12962962962962962,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.7256191950464396,0.24444444444444444,0.2413793103448276,0.2413793103448276,0.2413793103448276,10,TRUE
0.15,0.08333333333333333,0.0,0.11538461538461539,0.0,0.028571428571428564,0.17647058823529413,0.03125,0.0,0.0,1.0,0.0,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.0,0.02182284980744544,0.0,0.017770597738287562,0.08571428571428572,0.0,0.15384615384615385,0.0,0,0.0,0.14285714285714285,0.125,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.1724137931034483,0.042328042328042326,0.15217391304347827,0.04225352112676056,0.0,0.06493506493506493,0.09090909090909091,0.07142857142857142,0.05714285714285714,0.018518518518518517,0.0847457627118644,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,1.0,0.0,0.0,0.26666666666666666,0.10344827586206896,0.10344827586206896,0.10344827586206896,5,TRUE
0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008344030808729138,0.0,0.010500807754442648,0.0,0.0,0.15384615384615385,0.125,0,0.0,0.10714285714285714,0.125,0.10714285714285714,0.10714285714285714,0.0,0.0,0.125,0.10344827586206896,0.0,0.10869565217391304,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1934984520123839,0.3333333333333333,0.034482758620689655,0.034482758620689655,0.034482758620689655,4,TRUE
1.0,0.2916666666666667,0.30434782608695654,0.0,0.3181818181818182,1.0,0.0,0.875,0.5769230769230769,0.14285714285714285,1.0,0.5882352941176471,1.0,1.0,1.0,0.0,1.0,0.75,1.0,0.5714285714285714,0.0,0.15384615384615385,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.5608465608465608,0.5,0.4084507042253521,0.2545454545454545,0.8051948051948052,1.0,0.6,0.45714285714285713,0.2962962962962963,0.5423728813559322,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,1.0,0.0,0.2815402476780185,0.9333333333333332,0.1724137931034483,0.1724137931034483,0.1724137931034483,1,FALSE
